long,lat,shift,date,age,primary_fur_color,highlight_fur_color,location,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
-73.96929433,40.77695361,AM,10132018,Adult,Gray,White,Ground Plane,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95400541,40.7952446,PM,10132018,Adult,Gray,Cinnamon,Ground Plane,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95765302,40.78686595,PM,10072018,NA,Gray,Cinnamon,Ground Plane,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97380333,40.77118469,AM,10062018,Adult,Gray,NA,Ground Plane,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97044027,40.77989656,PM,10132018,Adult,Gray,NA,Ground Plane,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.97569761,40.77538973,PM,10142018,Adult,Gray,"Black, Cinnamon, White",Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
-73.9662439,40.78903818,PM,10072018,Adult,Cinnamon,NA,Ground Plane,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
-73.96431539,40.78208185,PM,10142018,Adult,Gray,Cinnamon,Ground Plane,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97420735,40.77579574,AM,10072018,Adult,Gray,Cinnamon,Ground Plane,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
-73.97161471,40.7813911,PM,10182018,Adult,Gray,NA,Above Ground,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95354107,40.79287118,PM,10082018,Adult,Gray,NA,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.96391593,40.78917746,AM,10072018,Adult,Gray,Cinnamon,Ground Plane,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.95795643,40.79593378,PM,10142018,Adult,Black,NA,Ground Plane,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
-73.95746481,40.78925084,PM,10082018,Juvenile,Gray,Cinnamon,Above Ground,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
-73.97025268,40.77059996,AM,10172018,Adult,Gray,Cinnamon,Above Ground,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.95796459,40.79186135,AM,10072018,Adult,Gray,White,Above Ground,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.96732534,40.77495053,PM,10102018,Adult,Gray,NA,Above Ground,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.96400328,40.78203098,PM,10142018,Adult,Gray,NA,Ground Plane,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
-73.95959332,40.79058473,AM,10072018,Adult,Gray,NA,Above Ground,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96022221,40.7937797,AM,10072018,Adult,Gray,NA,Above Ground,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96806351,40.77924987,AM,10172018,Adult,Black,NA,Above Ground,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.98016664,40.76869053,PM,10132018,Adult,Gray,White,Ground Plane,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96756343,40.78134774,AM,10072018,Juvenile,Gray,NA,Ground Plane,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95849706,40.79828863,AM,10192018,Juvenile,Gray,White,Ground Plane,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
-73.97602982,40.76819544,PM,10082018,Adult,Gray,Cinnamon,Ground Plane,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.95688021,40.79723991,PM,10062018,Adult,Gray,NA,Ground Plane,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
