Year,Month,Locality,Households Served,Individuals Served,Pounds of Food Distributed,Children Served via non-federal child nutrition programs,Pounds of food distributed via non-federal child nutrition progr
2019,March,Bedford County,1098,3364,76031.5,105,299
2019,February,Colonial Heights City,0,1312,0,,
2020,May,Southampton County,67,176,12043,440,2305
2019,September,Westmoreland County,88,207,2148,,0
2020,February,Culpeper County,566,1384,35149.9,,0
2021,September,Washington County,,,117441.75,,4254
2020,November,Radford City,825,2234,26112.79,139,0
2019,December,Amherst County,1084,2738,117014.85,1296,0
2019,November,Petersburg City,1047,2424,6804,,
2019,March,Emporia City,151,247,17219,,
2020,November,Middlesex County,534,898,9028,,
2019,April,Culpeper County,387,927,34044.37,,0
2019,November,Bristol City,492,1236,6377,90,0
2021,June,Petersburg City,1061,2931,4611,,
2020,July,Powhatan County,97,922,99275,,
2019,May,Chesapeake City,4014,10623,267843,285,5311
2020,June,Lexington City,2273,2875,54465.39,,0
2020,March,Alleghany County,318,882,24035.28,,0
2020,July,Lunenburg County,710,1892,77572,,
2019,July,Salem City,403,1038,21258.35,,0
2019,August,Winchester City,3033,8315,174382.87,0,107
2019,October,Fredericksburg City,1189,2656,62897,2073,2848
2019,April,Franklin County,778,2410,49378.1,,0
2019,November,Colonial Heights City,0,1555,0,,
2021,May,Roanoke County,223,734,10659.48,93,0
2019,February,Scott County,685,1473,23508,14,740
2020,December,Henrico County,3239,11602,75829,,
2020,June,Newport News City,1654,4257,363143,190,7313
2019,September,Portsmouth City,2273,7961,119606,80,580
2020,August,Bland County,404,1022,19393.2,,0
2019,April,Craig County,55,71,6862,51,0
2021,February,Richmond City,8103,17373,22708,,
2021,May,Galax City,636,1417,10403.5,75,0
2020,December,Essex County,347,787,18551,,
2020,July,Chesterfield County,2005,8230,523175,,
2020,December,Franklin County,743,2549,42163.92,263,2756
2020,February,Spotsylvania County,2463,7949,147298.15,985,6520
2021,February,Roanoke County,286,909,15537.6,91,1937
2021,April,Lancaster County,285,547,52908,,
2019,April,Rockingham County,1603,2964,95392.49,,0
2019,January,Alexandria City,,,67020.50457,,2008
2020,April,Lancaster County,490,1016,82248,,
2020,November,Cumberland County,760,1246,41926,,
2019,May,Danville City,3058,8233,110453.91,400,31859
2020,June,Harrisonburg City,2476,8850,141946.81,276,2415
2020,September,Buchanan County,1706,17144,115697.45,,0
2020,February,Greene County,519,1292,36620.68,79,538
2020,February,Shenandoah County,1516,2241,88835.37,,0
2020,October,Fluvanna County,441,727,29848.39,,4430
2021,March,Lynchburg City,12524,18094,237429.39,1084,30691
2019,October,Lynchburg City,1220,6570,181732.54,4224,32005
2020,October,Sussex County,167,442,8796,,
2020,April,Mathews County,,,21722,0,
2020,May,King and Queen,,,62354,,
2021,August,Bedford County,697,2284,69965.85,,0
2019,March,Westmoreland County,410,1327,15830,,
2019,February,Buckingham County,711,1663,39613.48,,0
2019,January,Prince Edward County,519,5606,22119,,
2019,January,CLARKE COUNTY,220,429,16822.22,,0
2019,May,Dickenson County,1067,2244,42162.4,,0
2019,April,Wythe County,946,2504,18864.7,,0
2021,February,Amherst County,908,2127,75844.86,1401,5697
2019,December,Prince William County,,,377738.32,,15561
2019,September,Danville City,3208,9123,135223.38,361,1359
2021,February,Middlesex County,499,800,6240,,
2019,October,Roanoke City,5554,19760,346340.03,1134,6167
2019,March,Brunswick County,236,894,14341,,
2021,July,Wise County,675,1803,39125.3,,0
2020,February,Lancaster County,450,905,84975,,
2021,June,Campbell County,987,2117,108594.04,0,0
2020,October,Campbell County,1187,2554,119556.73,46,0
2019,February,BEDFORD COUNTY,300,780,16801.44,,0
2019,March,New Kent County,75,2722,0,,
2019,July,Patrick County,920,2483,15955.4,,0
2020,August,Salem City,604,1513,18864.99,,0
2019,August,Middlesex County,468,794,12942,,
2020,January,Winchester City,2495,7862,134082.37,717,5344
2019,February,Craig County,62,84,6024,51,0
2019,October,Franklin County,831,2475,49179.4,,0
2019,June,Roanoke County,181,687,9778.5,59,441
2019,December,Southampton County,605,1381,26613,145,2047
2020,January,Madison County,523,1260,26891.95,,0
2019,September,Smyth County,1831,5782,99222.97,625,7168
2019,March,Montgomery County,879,2593,27912,966,7602
2019,February,Nelson County,469,1126,34607.4,,0
2019,March,Chesapeake City,3831,10347,217176,282,4850
2020,January,King William County,3,8,,,
2020,May,Amelia County,146,342,5818,,
2019,July,Campbell County,862,1881,76184.42,0,720
2020,February,Newport News City,1703,3886,412682,450,13670
2019,February,Brunswick County,257,975,9095,,
2020,August,Smyth County,608,1678,92486.12,,1349
2019,January,STAUNTON CITY,554,6073,27790,,769
2019,July,CLARKE COUNTY,168,337,9693.37,0,0
2019,June,Suffolk City,2355,5172,66359,250,986
2019,September,Lexington City,840,1837,36714.76,,0
2020,April,Montgomery County,928,5067,40754.04,540,4224
2019,May,Essex County,43,102,,,
2019,September,Scott County,660,1489,29945.5,13,0
2019,October,Rockingham County,1840,3672,85130.66,,0
2019,December,Roanoke County,778,2011,34543.68,246,337
2019,May,Covington City,373,1320,35346.95,,0
2020,October,Rappahannock County,248,643,21590.6,,0
2019,August,Radford City,827,2022,21440.2,151,0
2021,February,Arlington County,,,82463.17665,,7013
2019,May,Waynesboro City,178,559,10293.97,,6270
2021,March,Amelia County,195,561,11665,,
2019,November,Washington County,2054,5995,66218.6,220,683
2020,May,Frederick County,8375,14057,48617.58,,0
2021,May,Henrico County,2708,9203,64282,,
2020,May,Roanoke County,358,1062,26665.85,35,0
2019,November,Brunswick County,475,940,12140,,
2020,December,Shenandoah County,1091,2712,104022.27,,0
2020,April,Halifax County,389,728,19250,,
2020,February,Richmond City,0,12794,0,,
2019,December,Danville City,2741,7902,156557.45,411,4776
2019,February,Lynchburg City,1807,8411,146494.16,929,22305
2020,February,Fairfax County,,,311761.1426,,20024
2019,August,Russell County,889,1965,27896.3,,0
2021,February,Bath County,269,606,14291.5,0,0
2020,June,Fluvanna County,392,801,31306.08,,3098
2019,May,Alexandria City,,,68120.40069,,1441
2020,August,Brunswick County,380,601,28499,,
2020,March,Louisa County,1415,2892,11497,,
2020,June,Charles City County,271,773,16384,,
2019,February,Roanoke City,5165,25286,293396.76,1282,3817
2020,January,Bath County,204,371,13486.52,,0
2019,June,Fairfax County,,,550430.2311,,738
2020,January,Harrisonburg City,2134,8511,141114.3,307,2548
2019,June,Henrico County,10,12,,,
2021,February,Buena Vista City,300,755,40734.25,,0
2020,November,King William County,549,5411,9183,,
2021,June,Sussex County,144,370,5421,,
2020,January,Bedford County,1236,3898,87648.8,78,0
2019,October,Waynesboro City,249,692,20463.99,164,9510
2020,April,Culpeper County,819,1853,93746.68,,0
2020,February,Louisa County,1287,2665,33382,,
2019,November,Sussex County,171,512,11679,,
2020,December,Harrisonburg City,1755,5675,170816.58,1511,64355
2019,July,Norton City,699,2366,23851.1,,0
2021,January,Brunswick County,392,672,14846,,
2020,July,New Kent County,346,940,0,,
2021,May,Colonial Heights City,0,1167,0,,
2019,December,Petersburg City,0,8938,0,,
2019,February,Chesapeake City,4160,11080,242475,280,4417
2020,May,Loudoun County,1,1,,,
2020,June,Lee County,367,950,46737.75,,0
2019,June,Westmoreland County,79,180,699,,0
2020,May,Brunswick County,351,550,10269,,
2020,February,Russell County,903,1951,26239.39,,0
2020,June,Smyth County,1347,4069,102222.05,66,0
2020,June,Winchester City,2427,7246,154504.48,2260,15862
2021,July,Washington County,1042,3649,74192.08,,0
2019,January,Henrico County,1300,11739,34189,,
2019,May,Franklin County,738,2088,67201.12,,0
2020,July,Westmoreland County,214,560,4597,,
2020,May,James City County,421,1431,77937,245,1976
2020,February,Franklin City,941,2368,25973,80,1166
2019,July,King and Queen County,23,52,,,
2020,August,Amelia County,175,414,7396,,
2019,October,Warren County,431,1195,40001.66,1194,0
2020,October,Hopewell City,170,302,27524,,
2019,August,Pittsylvania County,,,0,85,1209
2020,April,James City County,508,1804,77181,245,1666
2019,February,Fredericksburg City,960,2141,58104,1241,2680
2019,August,Harrisonburg City,2796,7565,150610.18,49,4176
2019,January,Louisa County,29,97,,,
2019,April,Galax City,748,1634,21257.7,140,0
2019,May,Lunenburg County,393,2954,69668,,
2020,May,Orange County,558,1409,23784.19,,0
2020,April,Pittsylvania County,,,0,62,1144
2020,October,CLARKE COUNTY,126,264,6263.7,63,516
2021,September,Galax City,,,4666,,0
2020,March,King and Queen County,0,0,0,,
2019,February,Mathews County,,,22874,0,
2019,April,Nelson County,598,1132,40104.56,,0
2020,June,Rockingham County,1677,3687,94141.24,,0
2019,January,Martinsville City,435,1974,8838.75,,352
2020,May,King George County,242,638,5891.35,,0
2020,January,Isle of Wight County,1341,2971,39693,60,1276
2020,September,Covington City,342,7048,45485.5,,0
2019,September,Alleghany County,469,1050,27233.83,,0
2019,April,Giles County,365,646,12689,60,0
2020,January,Danville City,3427,8392,114525.4,411,916
2021,March,Pittsylvania County,,,0,0,0
2020,November,Campbell County,1337,3140,123339.43,,92
2020,August,Fauquier County,810,1886,49177.85,,0
2019,April,Greene County,440,998,31453.95,77,720
2020,January,Surry County,99,161,23442,0,
2019,February,Montgomery County,868,2664,28780.2,948,9863
2021,May,Brunswick County,493,802,24310,,
2019,May,Roanoke County,187,558,9755.88,268,275
2021,March,Scott County,423,853,30203.95,12,0
2019,March,Nottoway County,160,2772,33772,,
2021,February,Montgomery County,1204,7396,37607.9,505,7868
2020,September,Floyd County,331,819,6717.3,,0
2019,November,Essex County,70,172,,,
2021,June,Prince William County,,,568771.5111,,32472
2019,September,Henrico County,2189,8730,36479,,
2020,February,Sussex County,231,439,14717,130,1910
2019,August,Buckingham County,930,1880,36178.52,,0
2020,September,Hanover County,884,2547,1036,,
2020,March,Warren County,523,1448,36695.86,215,1422
2019,August,Essex County,27,66,,,
2019,August,King and Queen County,23,57,,,
2019,October,Henrico County,2417,9508,50452,,
2020,February,Dinwiddie County,265,968,4507,,
2019,December,Amelia County,130,338,9733,,
2019,February,Pulaski County,886,4463,32717.65,202,0
2019,February,Lunenburg County,365,2861,70329,,
2020,September,Sussex County,182,492,4913,,
2019,October,Nelson County,317,511,36631.72,,0
2020,February,Danville City,2962,7336,112301.85,411,5218
2019,August,Westmoreland County,96,262,723,,0
2020,January,Amelia County,151,392,8105,,
2019,February,Emporia City,0,0,0,,
2020,August,Bristol City,310,1681,4599,65,802
2019,May,Colonial Heights City,63,125,48564,,
2020,February,Martinsville City,413,1908,13966.2,,117
2021,August,Floyd County,90,190,13194.7,,0
2020,March,Bedford County,1095,3370,81236.78,78,0
2020,December,Craig County,126,206,1798,24,0
2019,March,Petersburg City,689,1578,12875,,
2020,November,Alleghany County,326,878,31347.35,,0
2019,May,Hanover County,430,2317,835,,
2020,February,Washington County,2405,6291,51511.84,200,406
2021,June,Colonial Heights City,0,1095,0,,
2020,April,Giles County,122,122,10915,,0
2020,August,Winchester City,1934,5672,173134.93,0,0
2021,July,Bland County,210,563,71395.6,,0
2019,April,Augusta County,2880,7272,310195.13,71,1998
2019,October,Sussex County,157,453,10885,,
2020,November,Botetourt County,228,827,13111.42,15,421
2019,January,Amelia County,166,568,10597,,
2020,September,Halifax County,479,835,25752,,
2020,May,Radford City,629,1576,25137.3,150,0
2019,December,Alleghany County,322,858,33063.55,,0
2019,November,Isle of Wight County,1644,3747,77392,60,447
2021,June,Patrick County,764,1749,11574.42,,0
2020,March,James City County,294,926,99849,245,3074
2019,June,King and Queen County,73,215,225400,,
2019,January,Culpeper County,551,1887,31300.1,,0
2020,January,Covington City,416,1578,29712.65,,0
2019,April,Pittsylvania County,502,1241,24580.67,,0
2021,June,Lunenburg County,681,1558,124805,,
2020,July,Orange County,573,1476,37846.39,,0
2019,July,Hanover County,62,131,,,
2020,May,Westmoreland County,249,630,8150,,
2019,March,Floyd County,392,967,16275,,0
2020,November,Danville City,2604,4600,123943.46,,1371
2019,May,Emporia City,110,166,21915,,
2019,January,King and Queen County,95,227,199369,,
2021,January,Charles City County,216,595,23862,,
2020,July,Smyth County,1267,3879,127447.33,66,4146
2019,January,Norfolk City,10016,35717,438931,1060,21572
2021,January,Amherst County,954,2156,88780.92,2117,7764
2020,December,Nelson County,602,1262,58281.36,,0
2020,December,Patrick County,853,2089,10366.75,,0
2019,April,Buckingham County,957,1861,36084.06,,0
2019,May,Tazewell County,1991,4406,75225.1,,0
2019,April,Essex County,264,616,23694,,
2020,February,Fauquier County,778,1346,36416.95,,0
2020,April,Carroll County,318,805,12121.25,,0
2020,January,Chesapeake City,3724,9966,230486,285,4926
2019,March,King and Queen County,0,1338,0,,
2019,April,Fluvanna County,510,1135,26466.35,99,2552
2019,September,Goochland County,65,826,40156,,
2019,December,Sussex County,153,430,7765,,
2020,March,Hopewell City,144,154,24006,,
2019,June,Orange County,594,1491,48098.14,,0
2021,February,Alexandria City,,,186327.7875,,18843
2020,September,Mecklenburg County,1828,3028,10834,,
2020,March,STAUNTON CITY,593,5593,27504.3,,445
2021,June,Colonial Heights City,51,118,39249,,
2020,August,King and Queen County,0,0,0,,
2019,July,Nottoway County,214,2045,33194,,
2020,May,Henry County,3445,11106,80447.05,620,30964
2019,March,Roanoke City,5270,24694,269940.5,1248,10203
2021,June,Pittsylvania County,417,1026,20813.31,,0
2019,November,Richmond County,27,54,1984250,,
2021,February,Buckingham County,504,956,22834.93,,0
2020,December,Arlington County,,,80093.6521,,7509
2019,February,Covington City,371,1307,19361.5,,0
2020,February,Henry County,2346,3552,73041.59,225,226
2020,April,Hopewell City,0,983,0,,
2020,December,Halifax County,533,1157,19403,,
2019,October,Hopewell City,0,1149,0,,
2020,January,Fauquier County,5,10,,,
2019,December,Smyth County,1807,5940,110654.88,593,9322
2021,February,King William County,464,5089,9894,,
2020,March,Colonial Heights City,0,1534,0,,
2020,May,Scott County,371,677,17965,13,0
2019,November,Prince George County,1,2,,,
2019,October,Galax City,0,0,,252,
2019,November,Wythe County,920,2315,16712.1,,0
2020,December,Russell County,1237,2712,39725.03,,0
2020,August,Norton City,497,1505,23182.2,,0
2019,January,PAGE COUNTY,166,536,54332.27,,0
2019,August,Nelson County,562,1038,37756.98,,0
2020,December,Greensville County,58,221,344848,,
2020,May,Alleghany County,192,563,22189.7,,0
2019,June,Buckingham County,911,1738,38259.72,,0
2021,February,Westmoreland County,299,765,5933,,
2019,September,PAGE COUNTY,377,713,44349.85,,0
2019,January,Emporia City,66,120,17317,,
2019,January,Winchester City,3168,8676,128595.1,194,5173
2019,February,King and Queen County,162,328,186588,,
2019,April,Washington County,1477,4243,70822.15,117,402
2020,August,Halifax County,426,1098,27683,,
2020,February,Hopewell City,0,1036,0,,
2020,November,Washington County,1742,6099,74062.28,80,0
2020,November,Winchester City,2443,7782,149147.54,117,4731
2020,February,Craig County,52,55,5366,38,0
2020,May,Louisa County,1191,2292,39978,,
2020,September,Cumberland County,798,1214,50151,,
2020,January,Alexandria City,,,75143.54575,,12305
2020,July,Martinsville City,248,3031,11611.33,,0
2019,January,Shenandoah County,871,2272,90335.54,,0
2019,July,York County,336,1015,47329,,
2019,October,Grayson County,811,2300,25712.48,,0
2019,January,Roanoke City,5236,24090,307466.95,1305,11689
2019,April,Russell County,1110,2464,29528.02,,0
2021,April,Albemarle County,1787,4413,178119.28,55,1227
2019,December,BEDFORD COUNTY,494,2174,22527.63,,0
2020,December,Charlotte County,808,1456,16894,,
2020,May,Prince William County,52,172,,,
2020,September,King and Queen,,,104177,,
2019,October,Fauquier County,673,1515,42593.54,,0
2019,September,Northampton County,273,550,16069,0,0
2021,March,Harrisonburg City,1786,7094,203767.31,270,40296
2020,September,Powhatan County,115,1191,97641,,
2020,October,Covington City,385,1433,53332.37,,0
2021,January,Middlesex County,505,825,9775,,
2019,June,Scott County,666,1382,27067.2,,0
2021,April,Emporia City,21,31,20914,,
2021,June,Russell County,721,2002,39128.06,,0
2019,December,Emporia City,0,0,0,,
2020,December,Alexandria City,,,219785.4384,,23464
2019,July,Emporia City,118,178,18924,,
2020,June,Essex County,32,85,,,
2019,August,Southampton County,580,1301,21412,0,0
2019,February,Surry County,72,150,30915,0,
2021,June,Smyth County,412,1163,138578.98,,0
2019,December,Rockbridge County,2422,2817,14814.51,,0
2019,July,Buchanan County,1265,3074,77988.1,,0
2019,June,Fredericksburg City,682,1651,47399,475,1160
2019,September,Mecklenburg County,1243,2514,14510,,
2019,January,Lee County,623,490,30128.2,,0
2019,December,PAGE COUNTY,416,806,24047.82,,0
2019,February,Richmond City,4,6,,,
2019,January,Greene County,332,866,38189.25,53,980
2019,June,Winchester City,2372,7428,123381.33,0,6186
2019,March,Culpeper County,628,1688,25430.54,,0
2019,August,King and Queen County,0,1635,0,,
2020,October,Petersburg City,1014,2512,14886,,
2021,August,Alleghany County,112,273,27511.7,,0
2019,December,Pittsylvania County,,,0,78,1858
2019,October,King and Queen County,0,1591,0,,
2019,July,Culpeper County,733,1946,36245.32,,0
2019,August,Rockbridge County,1456,1798,8309.36,,0
2020,June,Northumberland County,250,572,95772,,
2020,August,STAUNTON CITY,457,3049,22567.02,,65
2019,September,Wythe County,1140,3129,20881.13,,0
2020,November,Charlottesville City,1465,10136,38474.31,0,0
2021,April,Amelia County,189,496,8929,,
2020,April,Henrico County,1871,6270,46683,,
2020,January,Hopewell City,113,224,20698,,
2020,April,Southampton County,1,1,15943,0,0
2020,July,Hanover County,745,2088,740,,
2021,February,Rockbridge County,126,4652,5347.75,,0
2019,October,Washington DC,1,4,,,
2020,March,Portsmouth City,2241,7028,71051,560,4151
2020,April,Richmond City,7147,15009,21524,,
2020,January,Newport News City,1664,3862,355659,450,7371
2020,August,Grayson County,787,2182,41169.22,,0
2021,January,Essex County,306,682,19992,,
2019,July,Charlottesville City,656,7529,45411.13,,895
2020,October,Prince Edward County,1830,3136,53237,,
2019,August,Goochland County,85,798,35047,,
2019,November,Westmoreland County,420,1070,9418,,
2020,November,Bedford County,1254,4141,110110.83,81,3888
2020,September,Frederick County,4423,8404,57541.33,,0
2021,June,Appomattox County,803,1134,27752.48,,0
2020,November,Henrico County,2922,10426,66083,,
2020,October,Colonial Heights City,0,1827,0,,
2019,July,Henrico County,1906,9252,42140,,
2021,May,Buena Vista City,257,687,44153.82,,0
2020,June,Rockbridge County,165,3284,12265.75,,0
2020,May,Prince George County,3,19,,,
2019,August,Campbell County,1007,2262,90570.12,,3644
2021,June,New Kent County,419,1231,0,,
2020,September,Harrisonburg City,1914,6440,203753.28,143,4651
2021,May,Petersburg City,0,8474,0,,
2020,November,Petersburg City,1061,2570,2571,,
2019,February,Sussex County,317,481,10397,80,990
2020,July,Buena Vista City,219,537,22954.41,,0
2019,December,Gloucester County,825,2514,109492,60,1692
2020,June,Fredericksburg City,680,1715,31564,,0
2019,October,King and Queen County,98,240,247574,,
2019,January,Lynchburg City,5294,9104,138967.18,893,23670
2019,September,Dinwiddie County,260,975,2626,,
2021,January,Augusta County,1866,4822,190862.78,115,3196
2020,July,Montgomery County,854,4926,45754.2,318,10061
2020,March,Northampton County,282,589,10836,130,1070
2020,December,Buchanan County,1931,4889,92585.22,320,2118
2019,June,Emporia City,124,175,9361,,
2021,March,Albemarle County,2109,5412,243316.07,0,1913
2020,March,Buckingham County,874,1608,45015.84,,0
2021,May,Fairfax County,,,1436063.503,,56138
2019,August,Arlington County,,,25169.52456,,
2021,January,Louisa County,1127,2248,15791,,
2019,October,Williamsburg City,366,1017,64318,35,5382
2019,October,Prince George County,465,1263,13639,,
2019,February,Highland County,46,130,1336.38,,0
2019,February,Roanoke County,185,634,8246.7,271,1408
2019,December,Waynesboro City,799,1348,19178.66,164,7339
2019,April,Alexandria City,4,20,,,
2019,November,Radford City,923,2348,26980.28,292,0
2020,August,Albemarle County,2606,6351,202395.69,,0
2019,June,Chesapeake City,3360,9561,205150,285,723
2019,October,Culpeper County,819,1903,33057.15,,0
2020,September,Fairfax County,,,1091211.075,,
2020,May,Rappahannock County,267,723,28613.73,,0
2021,May,Lynchburg City,3288,15011,197896.58,1396,13573
2021,April,Greene County,604,1614,56608.93,73,1724
2020,March,Shenandoah County,1290,3512,49138.97,,0
2020,December,Emporia City,0,0,0,,
2020,October,Nottoway County,315,929,29842,,
2020,May,Washington County,1530,4324,72001.85,,0
2019,May,Buena Vista City,680,1292,28518.47,,0
2019,June,Pittsylvania County,560,1474,19098.35,,0
2021,March,Arlington County,,,97622.50195,,6254
2021,April,Roanoke County,268,870,22176.2,92,238
2021,March,Greene County,611,1719,69445.8,74,1568
2019,July,Prince George County,437,1203,10421,,
2020,March,Covington City,308,7919,34605.23,,0
2019,November,King and Queen County,103,283,363132,,
2020,May,Giles County,201,313,9552,,0
2019,August,Richmond City,7924,16102,19077,,
2020,March,Albemarle County,2609,6176.44,194745.37,56,1776
2021,April,Patrick County,591,1316,28435.7,,0
2019,June,Prince George County,389,1015,9300,,
2021,April,Dinwiddie County,426,1000,0,,
2019,December,Charlottesville City,1133,7164,57111.08,0,0
2020,September,Prince William County,,,762401.8471,,
2020,November,Mecklenburg County,1515,2589,13157,,
2020,February,Arlington County,,,20261.50209,,1253
2019,December,Fredericksburg City,920,2099,60518,1213,2184
2021,August,Botetourt County,114,356,14790.9,,0
2020,March,Westmoreland County,120,349,1907.4,,0
2021,February,Brunswick County,378,632,26304,,
2019,February,Norfolk City,10869,35761,455039,1060,14797
2020,June,Norton City,483,1404,13431,,0
2020,February,Smyth County,1918,3625,76301.92,578,6415
2020,February,Bath County,206,366,17164.5,,0
2019,March,Pittsylvania County,528,1283,26185.75,,0
2020,September,Rockbridge County,169,1066,9568.8,,0
2019,July,Westmoreland County,395,1013,13416,,
2020,December,Grayson County,636,1840,35092.97,88,0
2021,February,King and Queen County,323,713,158727,,
2020,July,Campbell County,1242,2570,106535.41,0,0
2019,June,Culpeper County,332,683,26901.95,,0
2019,April,Virginia Beach City,4553,18459,248658,220,3222
2020,February,Lunenburg County,657,2560,52568,,
2021,June,Hopewell City,147,345,22729,,
2020,February,Bland County,532,1287,20882.79,,0
2019,March,Loudoun County,2481,8631,152879.64,1124,18158
2019,December,Pulaski County,576,4858,39197.38,277,4897
2019,July,Bristol City,76,220,6854,,0
2021,May,Richmond City,6891,14402,33721,,
2019,February,Lee County,388,1106,34932.3,,0
2020,March,Culpeper County,533,1530,31404.73,,0
2020,March,Rappahannock County,1,2,,,
2019,November,Rockbridge County,401,4416,21651.98,,0
2020,March,Norfolk City,6074,25558,337989,1194,8840
2021,June,Tazewell County,875,1985,35618.28,,0
2021,June,Augusta County,1478,3494,128816.55,653,13682
2019,July,Dickenson County,615,1322,49271.8,,0
2021,January,Lee County,316,814,25302.03,,0
2020,September,Charles City County,216,616,34965,,
2019,January,Pulaski County,780,4422,19943.75,206,2423
2019,December,Franklin City,1022,2687,29857,80,1174
2020,January,Portsmouth City,2246,6144,110421,560,9380
2020,April,Campbell County,979,2337,108037.06,,2030
2021,January,Alexandria City,,,132451.95,,14993
2019,June,King and Queen County,0,1523,0,,
2020,September,Franklin County,689,2346,35261.48,195,5440
2021,July,Floyd County,100,220,12223.94,,0
2021,January,Highland County,193,405,11131.99,,0
2020,January,Fluvanna County,344,632,45754.6,133,3494
2021,June,Roanoke County,246,639,10983.38,,0
2020,December,Galax City,725,1638,15078.06,73,0
2019,October,Winchester City,1967,6294,168314.55,2678,16422
2020,December,Salem City,613,1565,33756.98,,0
2019,June,Wise County,724,2056,48600.05,,0
2020,March,Pittsylvania County,564,1412,22062.7,,0
2021,January,Bath County,282,541,14292.07,0,0
2020,November,King and Queen County,450,1002,274887,,
2019,July,Fairfax County,,,464041.3781,,7787
2021,January,Rappahannock County,231,574,20236.34,,0
2019,December,Roanoke City,5414,25513,296425.63,1269,5326
2021,January,Henry County,3039,7024,92837.79,43,0
2019,September,Spotsylvania County,2281,7663,179730,1496,2245
2020,October,Greensville County,88,290,360487,,
2019,July,Lancaster County,388,755,84748,,
2020,December,Richmond City,9192,19504,28088,,
2021,September,Wise County,166,434,35385.33,,0
2019,July,Louisa County,1366,2908,30586,,
2019,October,Isle of Wight County,1432,3254,50338,60,829
2020,April,King and Queen County,0,0,0,,
2019,May,Shenandoah County,852,2312,93195.64,,0
2021,June,Dinwiddie County,470,1121,3934,,
2019,May,Grayson County,648,1929,29322.4,,0
2020,January,Brunswick County,622,1057,10484,,
2021,June,King William County,349,4445,0,,
2019,April,Greensville County,108,357,123588,,
2019,June,Spotsylvania County,2058,6936,124352,236,664
2020,September,Richmond City,0,9421,0,,
2019,March,Alleghany County,369,988,23645.25,,0
2020,February,King and Queen County,97,242,263740,,
2019,January,Dickenson County,820,1958,55101.4,,0
2019,January,Fairfax County,2,10,,,
2020,September,Nottoway County,209,644,22094,,
2019,June,Cumberland County,746,1198,41138,,
2019,February,Orange County,462,1406,34710.21,,0
2020,September,Amelia County,180,423,8410,,
2019,September,Waynesboro City,229,639,17586,155,4364
2021,January,Henrico County,3091,10779,54393,,
2021,January,Bland County,221,470,21352.9,,0
2019,May,Prince George County,3,3,,,
2019,December,Appomattox County,1481,2238,27993.05,,0
2020,January,Orange County,316,810,8075,,0
2020,July,Emporia City,0,0,0,,
2019,July,Hopewell City,0,1105,0,,
2019,May,Giles County,348,753,7117,70,421
2021,April,Wise County,717,1760,68071.13,,0
2020,March,Chesterfield County,1,1,,,
2019,September,Fluvanna County,455,858,18892.9,127,5412
2019,December,Hampton City,1800,4968,258173,410,6566
2019,December,Rockingham County,1994,4002,62175.06,,0
2019,July,Washington DC,1,4,,,
2020,February,Wise County,762,2211,45629.86,,0
2020,October,Petersburg City,0,2581,0,,
2019,March,Richmond City,3,6,,,
2020,August,Henry County,2918,6639,90693.26,445,0
2020,September,Rockingham County,1910,4185,130071.76,68,4220
2020,June,Roanoke County,367,1143,16762.7,,0
2020,September,Salem City,552,1413,22535.27,,0
2019,December,Highland County,201,370,8464.64,,0
2019,April,CLARKE COUNTY,207,387,13060.44,,0
2021,August,Pulaski County,580,981,27165.65,,0
2019,April,Nottoway County,125,1962,24474,,
2020,April,Richmond City,0,9289,0,,
2019,February,Cumberland County,289,557,40508,,
2019,February,Westmoreland County,64,172,1728,,0
2021,June,Pittsylvania County,,,0,0,0
2019,October,Charles City County,323,776,15601,,
2021,June,Northumberland County,229,514,118791,,
2019,April,Hampton City,1766,4805,241167,410,486
2019,April,Martinsville City,507,1915,11516.25,24,90
2020,April,Amherst County,1293,2962,84066.49,3889,6007
2021,April,Lynchburg City,9041,12913,181031.38,372,18327
2020,December,Giles County,517,1414,35173,,0
2020,March,Tazewell County,1700,4078,65077.5,40,407
2021,August,Bristol City,143,309,2952,,979
2021,January,King and Queen,,,99768,,
2020,April,Prince Edward County,1460,2491,28616,,
2020,March,King George County,290,772,9463.62,92,155
2019,March,Sussex County,129,347,8812,,
2020,November,Wythe County,946,2725,34282.04,,0
2020,June,Buckingham County,859,1685,41871.11,,0
2020,November,King and Queen,,,99432,,
2020,January,Prince William County,28,103,,,
2021,March,Highland County,238,462,14746.9,,0
2019,February,Amherst County,960,2249,92875.1,509,360
2020,December,Rappahannock County,372,985,19434.96,,0
2019,March,Hopewell City,39,54,13415,,
2020,May,Fauquier County,3,8,,,
2020,May,Rockingham County,2021,4241,96396.92,75,1767
2019,August,Lunenburg County,611,1900,67304,,
2020,October,Fauquier County,821,1995,52732.38,,0
2021,June,Highland County,200,515,16275.72,,0
2021,March,Campbell County,956,2120,119189.77,5,1165
2021,June,Richmond City,7582,16051,19388,,
2020,May,Nottoway County,265,876,44476,,
2020,January,Hanover County,717,2741,1047,,
2020,December,Pittsylvania County,674,1650,27327.66,,0
2020,November,Lynchburg City,12059,21287,227651.59,1725,21622
2019,February,King William County,260,2844,19067,,
2019,February,Radford City,865,1940,28299.25,417,920
2019,October,Arlington County,,,27724.27342,,1764
2019,September,Cumberland County,657,1004,50897,,
2019,January,James City County,302,947,132668,245,3538
