Year,Month,Locality,Households Served,Individuals Served,Pounds of Food Distributed,Children Served via non-federal child nutrition programs,Pounds of food distributed via non-federal child nutrition progr
2021,February,Essex County,275,632,21087,,
2021,April,Harrisonburg City,1734,5602,138251.99,256,8411
2019,June,Bland County,582,1371,21764,,0
2021,April,Pittsylvania County,448,1054,27462.15,,0
2020,July,Charles City County,207,577,25624,,
2019,February,Hopewell City,12,27,12791,,
2021,June,Giles County,221,299,12407,,0
2020,February,Petersburg City,1037,2389,1635,,
2020,June,Covington City,272,4198,21605.5,,0
2019,November,Mathews County,,,24286,0,
2021,September,Floyd County,,,2968,,0
2020,January,Warren County,809,2502,44707.2,257,644
2019,April,Madison County,219,497,22589.6,,0
2019,April,Chesterfield County,743,10097,217334,,
2019,September,Floyd County,369,1057,13824.7,,0
2020,February,Lee County,455,1298,18705.73,,0
2021,March,CLARKE COUNTY,169,337,12030.38,64,810
2021,May,Prince William County,,,1288865.961,,28488
2020,June,Sussex County,34,81,12465,0,0
2020,February,Harrisonburg City,1805,6619,160438.39,124,2420
2021,July,Pulaski County,628,1579,29144.1,,0
2020,March,Petersburg City,0,7244,0,,
2019,February,Waynesboro City,626,1158,17149.23,354,7350
2021,March,King and Queen,,,137750,,
2019,June,Loudoun County,1988,7245,147677.7,1380,31048
2020,February,Radford City,606,1605,22201.43,155,0
2021,February,Rockingham County,1288,2710,66820.65,303,7788
2019,August,James City County,136,344,107660,52,2670
2021,February,Pittsylvania County,,,0,0,0
2019,November,Harrisonburg City,1960,6421,131120.86,243,879
2021,January,King and Queen County,0,0,0,,
2021,May,Lunenburg County,704,1548,130831,,
2019,September,Fredericksburg City,859,2089,61345,1614,2422
2020,March,Sussex County,160,435,8588,,
2021,April,Nottoway County,202,589,17805,,
2020,January,Richmond County,5,9,,,
2021,February,Lee County,295,804,11953.6,20,1053
2019,November,Dinwiddie County,305,1251,3657,,
2019,January,Mecklenburg County,700,16766,10876,,
2020,August,Middlesex County,489,816,8492,,
2021,May,PAGE COUNTY,341,715,34082.35,50,1102
2019,May,Salem City,827,2227,51030.83,,0
2020,August,Prince Edward County,1798,3148,44583,,
2019,January,Accomack County,1695,4941,85636,348,5966
2020,May,Floyd County,442,1028,10084.2,,0
2021,July,Craig County,231,236,6175,10,0
2019,April,Gloucester County,683,2173,88515,60,
2020,October,Norton City,669,2003,48905.01,,0
2020,May,Northampton County,510,748,21971,600,0
2021,February,Mecklenburg County,1436,2278,7705,,
2019,December,Winchester City,2532,7374,116568.4,2678,2741
2021,March,Buena Vista City,524,1020,59300.84,,0
2020,May,Caroline County,535,1388,18838.75,,0
2020,November,Charles City County,230,622,49230,,
2020,July,Arlington County,,,34742.05439,,
2021,March,Russell County,748,1931,49248.6,,0
2019,October,James City County,152,355,109393,245,3398
2020,September,Henrico County,2995,17163,58108,,
2020,September,Roanoke City,4068,18866,383339.91,115,4432
2019,April,Pulaski County,818,4287,16635,206,0
2020,May,PAGE COUNTY,346,481,56086.56,,0
2021,February,Greene County,571,1632,54289.76,,1923
2020,September,Goochland County,110,531,70660,,
2019,July,Tazewell County,2212,5114,92713,,69
2019,November,Campbell County,1338,3136,87804.3,,5370
2021,February,Roanoke City,3779,18707,367072.16,238,16315
2019,May,Hopewell City,0,834,0,,
2019,February,Richmond County,1,1,,,
2019,January,Buena Vista City,607,1007,26104.95,,0
2019,August,Culpeper County,21,52,,,
2021,July,Salem City,441,1093,16544.4,,0
2019,March,Isle of Wight County,1501,3332,45956,60,869
2020,October,Alleghany County,577,1708,63651.7,,0
2019,July,Orange County,283,684,14299,,0
2020,October,Patrick County,763,1836,26638.53,,0
2019,March,King George County,365,1013,25454,116,278
2020,August,Colonial Heights City,0,1550,0,,
2019,May,Richmond City,4,6,,,
2021,April,Halifax County,499,1129,13947,,
2019,October,Rappahannock County,2,4,,,
2019,August,Charlotte County,731,1572,0,,
2021,April,Prince Edward County,1195,2006,33397,,
2019,November,Lancaster County,470,954,67058,,
2021,February,Wythe County,670,1562,23419.98,,0
2020,March,Westmoreland County,264,656,7737,,
2019,February,Virginia Beach City,4755,18515,271992,220,2844
2019,September,Charlottesville City,132,6856,44252.31,973,0
2021,August,Danville City,2030,3603,154344.13,,3406
2020,July,Madison County,309,527,32398.77,,0
2020,July,Winchester City,2022,6303,215834.42,1175,2179
2021,March,Essex County,286,634,25424,,
2020,April,Buena Vista City,374,874,38967.77,,0
2019,January,Chesapeake City,4980,12505,200721,280,4877
2020,December,STAUNTON CITY,511,3384,28805.14,,429
2019,May,Prince William County,,,323447.9402,,
2020,March,Fluvanna County,344,940,35040.52,133,6856
2019,April,Shenandoah County,1482,3863,109753.97,,0
2019,September,Pulaski County,1046,2820,13255,57,0
2020,March,Goochland County,106,460,44269,,
2021,May,New Kent County,461,1288,0,,
2019,April,King and Queen County,128,290,255950,,
2020,July,Albemarle County,2066,4818,223548.99,,0
2020,June,Waynesboro City,129,536,22343.13,,314
2020,May,Lancaster County,478,906,77656,,
2019,April,Charlottesville City,1450,3069,45248.95,0,0
2020,December,Bedford County,1208,4029,93431,84,2114
2019,August,Northampton County,323,596,7610,0,0
2019,January,Spotsylvania County,2325,7358,154726,516,11634
2019,December,Prince William County,34,108,802,,0
2020,June,Halifax County,391,885,23120,,
2019,August,Danville City,3083,6417,141878.8,92,1438
2019,December,Montgomery County,1,1,,,
2019,January,Chesterfield County,6,6,,,
2020,December,Orange County,372,877,43956.92,,0
2019,February,Northumberland County,279,659,75079,,
2019,June,Richmond City,6,12,,,
2019,July,Craig County,58,74,7380,,0
2020,January,Louisa County,22,73,,,
2021,May,Floyd County,240,591,10422.08,,0
2019,January,Buckingham County,706,1487,33851.25,,0
2019,September,Harrisonburg City,2495,8211,151715.29,156,0
2019,January,Richmond City,5939,12289,19721,,
2020,June,BEDFORD COUNTY,237,546,14717.48,0,0
2019,May,Franklin City,883,2143,27887,80,1178
2021,April,Goochland County,121,466,104927,,
2020,June,Galax City,349,832,5748,,0
2019,June,Caroline County,811,2068,29825,112,172
2019,October,Floyd County,387,988,13131.45,,0
2020,March,Chesapeake City,2041,6829,125680,268,1133
2019,October,Mathews County,,,26741,0,
2020,March,Patrick County,875,1728,21672.45,,0
2020,February,Richmond City,7936,15857,20666,,
2019,June,Greene County,363,881,29656.44,,0
2019,September,Accomack County,1871,5542,136546,0,0
2019,June,Campbell County,878,2248,83619.47,0,1048
2020,January,Frederick County,2647,6567,56539.03,,0
2020,December,Bristol City,255,1362,13870,97,0
2020,December,Botetourt County,233,842,17232.71,15,211
2019,April,Isle of Wight County,1422,3102,54910,60,893
2019,October,Richmond County,12,44,2133902,,
2019,June,Prince William County,,,272774.1979,,
2020,February,Floyd County,394,1182,22847.5,,0
2021,June,Hanover County,793,2198,330,,
2019,January,Hampton City,1508,4061,256698,410,12582
2020,March,BEDFORD COUNTY,471,937,21253.61,,0
2020,March,Middlesex County,667,1005,13096,,
2021,May,CLARKE COUNTY,109,254,5856.22,62,842
2020,October,Lunenburg County,809,2294,137312,,
2021,April,Tazewell County,1242,2834,69636.68,,0
2019,February,New Kent County,5,2803,0,,
2020,July,Bristol City,264,1328,28538,,0
2019,May,Albemarle County,2417,6457,156918.64,111,2242
2019,September,New Kent County,380,1302,0,,
2020,July,Patrick County,1055,2183,40391.15,,0
2021,February,Lynchburg City,11149,15773,154530.62,55,21443
2019,December,King and Queen,,,48914,,
2019,June,Amelia County,152,434,8531,,
2021,February,PAGE COUNTY,455,830,44829.33,0,0
2019,March,Radford City,854,1885,33531.75,315,0
2021,April,Washington County,1143,4290,79711.25,125,0
2020,June,Hanover County,763,2150,585,,
2020,July,Greensville County,47,208,106696,,
2020,March,Greene County,637,1712,57880.02,78,1997
2020,November,Augusta County,2843,6897,274193.63,79,634
2019,March,Norfolk City,10047,33700,424450.625,1176,17320
2020,February,James City County,234,692,92638,245,1576
2019,February,Washington County,1561,4700,51485.05,117,2380
2019,July,Martinsville City,437,2061,12727.8,,0
2019,December,Russell County,1174,2252,28187.3,,0
2020,April,Amelia County,167,415,6549,,
2019,May,Harrisonburg City,2438,8016,149768.99,91,52
2020,September,Culpeper County,862,2403,68472.8,,0
2019,September,Highland County,163,312,9734.15,,0
2019,April,Hanover County,115,331,,,
2019,November,Nottoway County,246,941,39025,,
2019,September,King and Queen County,77,231,291747,,
2020,September,Russell County,855,1997,54478.35,,0
2020,January,Bland County,466,1268,26657.78,,0
2019,April,Lunenburg County,321,2912,82630,,
2020,July,Greene County,624,1771,76376.83,,0
2019,August,Petersburg City,0,6579,0,,
2019,June,Patrick County,876,2112,15699.6,,0
2020,April,Rappahannock County,341,815,30806.61,,0
2019,October,Pittsylvania County,599,1555,26748.55,,0
2019,November,Martinsville City,496,2081,18023.9,111,28
2019,December,Fluvanna County,261,560,14542.82,133,1773
2021,June,Charles City County,136,366,30600,,
2019,July,Chesterfield County,854,5463,246043,,
2021,June,Nottoway County,207,612,14469,,
2019,January,Tazewell County,2084,4264,93377.75,40,186
2019,February,Mecklenburg County,532,19056,15407,,
2019,March,Norton City,634,2024,20181,,0
2019,May,Greene County,395,967,41794.32,76,135
2020,February,Virginia Beach City,5002,19261,267806,220,4133
2019,February,Warren County,972,2525,33891.09,44,0
2020,April,Suffolk City,1038,1896,118358,0,0
2019,September,Stafford County,1325,4081,59582,936,1639
2020,February,Fauquier County,4,16,,,
2020,June,STAUNTON CITY,293,3039,24368.74,,229
2019,April,Fauquier County,1,5,,,
2020,February,Waynesboro City,231,635,21090.44,407,7692
2021,March,Dinwiddie County,396,964,5234,,
2020,April,Fauquier County,887,2055,43323.82,,0
2019,August,Henry County,3716,6548,79182.45,154,813
2019,June,Prince Edward County,1539,2852,37870,,
2019,August,Northumberland County,263,678,64446,,
2019,July,Galax City,677,1518,13144.2,,0
2019,November,Emporia City,99,134,11319,,
2021,February,Scott County,417,853,35248.18,12,902
2019,December,Madison County,277,647,31242.28,,0
2020,July,CLARKE COUNTY,225,349,8194.6,82,992
2019,March,Greene County,314,793,35786.97,77,1308
2020,January,York County,1,1,,,
2020,April,Prince George County,2,2,,,
2020,April,Tazewell County,1775,4376,41181.5,40,0
2020,July,Norton City,443,1450,11040.13,,0
2019,December,Portsmouth City,2027,6609,111428,560,8690
2020,August,Lynchburg City,10542,19180,203979.07,1330,10210
2019,April,Colonial Heights City,4,4,51450,,
2019,October,Chesapeake City,3752,9970,230149,285,4754
2021,January,Norton City,406,1103,46796.83,,0
2020,June,Northampton County,372,562,22250,0,0
2019,June,Pittsylvania County,,,0,0,0
2021,January,Goochland County,125,472,66054,,
2021,March,BEDFORD COUNTY,494,964,31332.78,29,0
2021,May,Richmond City,0,6115,0,,
2020,March,Essex County,263,594,29273,,
2020,January,Buchanan County,1485,2899,101756.3,481,0
2020,August,Appomattox County,1080,1861,30923.21,,0
2019,August,Accomack County,1831,5477,77457,0,0
2020,August,Galax City,321,816,8789,,0
2020,December,Buena Vista City,527,1366,54983.61,,0
2019,September,Russell County,2,8,,,
2021,June,Mecklenburg County,1487,2344,7677,,
2020,January,Tazewell County,2120,4832,69307.73,40,0
2019,May,Lancaster County,422,820,84660,,
2021,March,Pittsylvania County,453,1181,25768.2,,0
2020,June,Rappahannock County,252,558,21780.32,,0
2020,March,King and Queen,,,63261,,
2019,July,Orange County,443,1307,42258.2,,0
2021,May,Waynesboro City,157,348,13278.28,0,2203
2019,March,Amelia County,160,507,9126,,
2021,January,Wise County,601,1629,36031.49,,0
2020,May,Mathews County,,,23275,0,
2020,January,Richmond County,29,69,421965,,
2020,October,Floyd County,257,519,18573.51,,0
2019,June,Chesterfield County,3,3,,,
2021,March,Henrico County,3091,11075,103159,,
2021,March,Bristol City,178,1404,8980,77,2043
2019,February,Rappahannock County,225,682,20010.41,,0
2019,August,Isle of Wight County,1389,3130,49091,0,0
2021,April,Rappahannock County,173,387,15562.94,,0
2019,December,Essex County,55,136,,,
2019,September,Petersburg City,0,8018,0,,
2019,May,Hampton City,1545,3925,274300,410,12745
2020,October,Montgomery County,1535,7872,58740.68,484,10990
2020,December,Norton City,837,2486,31506.14,,0
2020,August,Sussex County,133,361,9336,,
2020,October,Henrico County,3118,17371,81731,,
2019,April,Emporia City,0,0,0,,
2020,September,Appomattox County,1236,2080,24937.88,,0
2020,November,Buckingham County,762,1425,33224.49,,0
2020,January,Buckingham County,904,1713,39707,,0
2020,October,Middlesex County,638,983,12508,,
2020,August,Richmond City,0,10946,0,,
2019,September,Appomattox County,1435,2046,25941.16,,0
2020,December,King William County,493,5510,8968,,
2020,October,Wise County,1288,2918,45059.49,,0
2020,August,Craig County,61,65,8199,6,131
2021,June,Franklin County,531,1714,18722.26,,0
2019,February,Franklin City,988,2350,24196,60,809
2021,June,Lexington City,619,4165,51353.05,,0
2019,December,Middlesex County,598,940,7502,,
2019,August,BEDFORD COUNTY,492,1426,25988.39,,0
2020,June,Fairfax County,5,22,,,
2020,May,New Kent County,453,1261,0,,
2019,April,Accomack County,1796,5250,124917,349,6739
2021,February,Culpeper County,662,1830,45368.49,,0
2020,March,Powhatan County,141,355,90881,,
2020,April,Patrick County,968,1821,23847.2,,0
2020,October,Giles County,222,339,16865,,0
2020,January,Prince William County,,,536952.05,,16317
2020,August,Floyd County,333,819,22342.2,,0
2019,July,Goochland County,41,809,49632,,
2020,June,Portsmouth City,2922,4765,64385,815,6399
2020,April,Fluvanna County,415,1263,29936.58,133,2735
2020,May,Pittsylvania County,487,1269,20443.35,,0
2019,November,Galax City,0,0,1500,246,0
2020,December,CLARKE COUNTY,122,263,3251.53,0,599
2021,February,Nottoway County,173,575,16883,,
2019,May,Fredericksburg City,735,1648,54859,581,2823
2019,November,Culpeper County,23,56,,,
2019,June,Bedford County,1135,3526,69021.5,,0
2020,October,Lee County,446,1071,30967.08,,0
2020,April,Dinwiddie County,286,795,4187,,
2019,July,Buena Vista City,1047,1890,20915.63,,0
2020,August,BEDFORD COUNTY,346,732,24691.98,0,0
2020,May,Botetourt County,298,1130,11721.9,,0
2019,February,Fauquier County,882,2128,58462.22,,0
2019,August,Fredericksburg City,832,1913,52572,765,1667
2019,March,Middlesex County,596,919,13685,,
2019,December,Botetourt County,231,745,11561.45,,0
2021,July,Henry County,2949,7013,100410.4,,8985
2021,January,Dickenson County,656,1203,35592.53,,0
2019,February,King and Queen County,0,1340,0,,
2020,February,Grayson County,636,1858,28203.41,,0
2021,April,Charlotte County,712,1193,25972,,
2021,May,Bland County,180,438,52002.4,,0
2019,July,Emporia City,0,0,0,,
2020,October,Alexandria City,,,262883.5181,,12230
2021,April,Hopewell City,0,727,0,,
2020,April,CLARKE COUNTY,133,231,6600,82,1993
2020,April,Northampton County,294,685,22577,213,1383
2021,June,Shenandoah County,872,2020,79073.04,,0
2021,January,Russell County,778,1751,34939.23,,0
2019,December,Giles County,225,399,13487,73,0
2021,February,Fairfax County,,,1617217.836,,74363
2020,April,King and Queen County,28,30,,,
2019,April,Arlington County,,,44742.87158,,646
2021,February,Hanover County,854,2358,199,,
2019,November,Highland County,206,384,10963.29,,0
2020,December,Loudoun County,5253,14709,204533.58,900,11494
2019,October,Appomattox County,909,1258,32786.82,,0
2020,May,Culpeper County,20,47,,,
2019,November,Rappahannock County,455,1146,22705.05,,0
2019,August,Rockingham County,1688,3205,90367.32,,0
2019,August,Fairfax County,,,489576.4181,,383
2019,February,Westmoreland County,385,1253,6432,,
2020,September,Orange County,531,1259,24983.92,,0
2019,March,Waynesboro City,634,1054,15329.19,134,7348
2021,March,Prince Edward County,1374,2372,65439,,
2019,July,Smyth County,1346,4306,112120.2,30,13446
2019,April,Surry County,62,122,15965,0,
2021,May,Amelia County,161,439,8908,,
2021,May,Albemarle County,1804,4528,165983.3,55,0
2020,January,Carroll County,366,934,10325.85,,0
2021,May,Frederick County,223,1136,34392.65,,0
2019,November,New Kent County,463,1228,0,,
2021,June,Richmond City,0,7974,0,,
2021,May,Madison County,173,406,36409.69,,0
2020,February,Patrick County,1104,2770,18090,,0
2020,September,Buena Vista City,241,620,27485.1,,0
2020,April,King and Queen,,,59263,,
2020,January,Louisa County,1443,2972,24210,,
2021,April,King and Queen County,0,0,0,,
2019,March,Mecklenburg County,823,22093,18142,,
2020,March,Prince George County,219,532,11120,,
2019,April,Buchanan County,1566,3194,75176.23,279,0
2020,March,Brunswick County,499,806,12090,,
2020,September,Emporia City,64,100,25419,,
2019,September,Arlington County,,,31881.74456,,2255
2019,December,Nelson County,602,1189,46143.61,,0
2021,January,Northumberland County,242,533,66259,,
2020,May,Fredericksburg City,735,2003,40176.7,,0
2020,October,Halifax County,385,905,22537,,
2020,July,Mecklenburg County,1753,2893,7804,,
2020,September,Lynchburg City,13832,22985,200785.34,697,11346
2019,April,Rockbridge County,2647,3090,15194.37,,0
2019,January,Washington County,1466,4293,76975.1,117,537
2020,March,Accomack County,1850,5527,100169,340,2531
2021,June,Halifax County,517,1019,16616,,
2021,April,Henry County,2675,6352,69830.36,69,0
2019,October,Greensville County,98,288,144218,,
2019,July,Lexington City,739,1578,35147.14,,0
2019,September,King and Queen County,0,1633,0,,
2019,February,Amelia County,152,539,10517,,
2020,July,Prince George County,52,118,11214,,
